,crate_name,crate_hash,def_path,def_path_hash,summary_key,unsafe_reason
553214,rust_extra,156ff18b2f63fa66,rust_extra[930c]::arrays[0]::{{impl}}[76]::as_ref[0],94c139b24392aae4ad537825028e1afb,rust_extra.arrays.implement_arrays.as_ref,borrow of packed field
554318,rust_extra,156ff18b2f63fa66,rust_extra[930c]::arrays[0]::{{impl}}[6]::le[0],41031355ee2ac2d0549d3f0ece297d02,rust_extra.arrays.implement_arrays.le,borrow of packed field
556193,rust_extra,156ff18b2f63fa66,rust_extra[930c]::arrays[0]::{{impl}}[123]::lt[0],5f4dee895a173f6b02c1ad4e7611c48,rust_extra.arrays.implement_arrays.lt,borrow of packed field
557205,rust_extra,156ff18b2f63fa66,rust_extra[930c]::arrays[0]::{{impl}}[51]::as_mut[0],5a11722acb9646ccfc9396f6351f3b45,rust_extra.arrays.implement_arrays.as_mut,borrow of packed field
566709,rust_extra,156ff18b2f63fa66,rust_extra[930c]::arrays[0]::{{impl}}[143]::get_unchecked_mut[0],6aa385add37a09ed8b0b6d4cc5156bd9,rust_extra.arrays.implement_arrays.get_unchecked_mut,borrow of packed field
579238,emerald_rs,1b29922d9417914,emerald_rs[d422]::hdwallet[0]::apdu[0]::{{impl}}[0]::fmt[0],34b81ea9f8f72d501181fc70e5a9e0a1,emerald_rs.hdwallet.apdu.implement.fmt,borrow of packed field
581782,rust_extra,156ff18b2f63fa66,rust_extra[930c]::arrays[0]::{{impl}}[134]::eq[0],5377127efc51dc154f57dedf59fa02a4,rust_extra.arrays.implement_arrays.eq,borrow of packed field
590742,rust_extra,156ff18b2f63fa66,rust_extra[930c]::arrays[0]::{{impl}}[43]::eq[0],ab790fa3c1f2db36bc581572fdb195c4,rust_extra.arrays.implement_arrays.eq,borrow of packed field
602991,rust_extra,156ff18b2f63fa66,rust_extra[930c]::arrays[0]::{{impl}}[21]::hash[0],439a7460b20d190090d8bfd2d17de011,rust_extra.arrays.implement_arrays.hash,borrow of packed field
605249,zfs,54b2e16997fa8427,zfs[576d]::zap[0]::{{impl}}[1]::fmt[0],4164c6b5c9c3fa961a1633cfeb8d3b11,zfs.zap.implement_zap.fmt,borrow of packed field
620278,rust_extra,156ff18b2f63fa66,rust_extra[930c]::arrays[0]::{{impl}}[58]::le[0],861359fe69cafa07cb90026b42314134,rust_extra.arrays.implement_arrays.le,borrow of packed field
