,build,package_name,package_version,crate_name,build_crate_hash,edition,block,unsafe_scope,unsafe_scope_span,unsafe_scope_expansion_kind,unsafe_scope_expansion_kind_descr,file_name,line,col,check_mode,call,unsafety,abi,target_crate,call_target_def_path,call_target_summary_key,is_target_trait_item,reviewed,is_unique_target,dyn Trait,generic bound,macro var
1025777,97985,eko-gc,0.0.2,eko_gc,cb114ee2b7621f7c,2018,443659999,159911648,143361880,Root,{{root}},src/gc_ref_cell.rs,106,6,UnsafeBlockUserProvided,137856502,Normal,Rust,core,core[e667]::ops[0]::deref[0]::Deref[0]::deref[0],core.ops.deref.Deref.deref,True,True,True,False,False,False
395160,21934,elfy,0.2.2,elfy,1dd54c8cfa55c498,2018,98774312,35312473,31722850,MacroBang,read_u64!,src/macros.rs,69,12,UnsafeBlockUserProvided,30662838,Normal,Rust,core,core[e667]::cmp[0]::PartialEq[0]::eq[0],core.cmp.PartialEq.eq,True,True,True,False,False,False
651057,47729,embly,0.0.5,embly,be587c07167a373f,2018,220676775,79455633,70747686,Root,{{root}},src/task.rs,34,20,UnsafeBlockUserProvided,67943182,Normal,Rust,core,core[e667]::clone[0]::Clone[0]::clone[0],core.clone.Clone.clone,True,True,True,False,False,False
536750,34952,emoji-quickpick,1.0.0,emoji_quickpick,209959a438c0805f,2018,162133518,57802296,51618822,Root,{{root}},src/main.rs,209,18,UnsafeBlockUserProvided,49847264,Normal,Rust,core,core[e667]::ops[0]::deref[0]::Deref[0]::deref[0],core.ops.deref.Deref.deref,True,True,True,False,False,False
544041,35733,enet,0.2.3,enet,f946b005900c0bb2,2018,165514852,59064965,52758008,Root,{{root}},src/address.rs,29,12,UnsafeBlockUserProvided,50909025,Normal,Rust,core,core[e667]::ops[0]::deref[0]::Deref[0]::deref[0],core.ops.deref.Deref.deref,True,True,True,False,False,False
956299,85503,evmap,7.1.3,evmap,21c4848397e13a45,2018,387913962,139704054,125088618,Root,{{root}},src/write.rs,556,26,UnsafeBlockUserProvided,120259935,Unsafe,Rust,evmap,evmap[ef99]::shallow_copy[0]::ShallowCopy[0]::shallow_copy[0],evmap.shallow_copy.ShallowCopy.shallow_copy,True,True,False,False,True,False
665584,50877,fart-cli,0.4.0,fart,f1eed0818aea4cbd,2018,234401180,84272323,75134558,Root,{{root}},src/serve/events.rs,151,14,UnsafeBlockUserProvided,72181871,Normal,Rust,futures_core,futures_core[273c]::stream[0]::Stream[0]::poll_next[0],futures_core.stream.Stream.poll_next,True,True,True,False,False,False
591564,41790,filearco,0.1.0,filearco,7a715d0256cfe4c9,2015,192511349,69018878,61573494,Root,{{root}},src/v1.rs,174,26,UnsafeBlockUserProvided,59411302,Normal,Rust,core,core[e667]::ops[0]::deref[0]::Deref[0]::deref[0],core.ops.deref.Deref.deref,True,True,True,False,False,False
353384,16387,filecoin-proofs,0.6.4,filecoin_proofs,aa0bf617786fc09d,2018,73922659,26384660,23596946,MacroBang,array!,<::array_macro::array macros>,9,47,UnsafeBlockUserProvided,22792111,Normal,Rust,core,core[e667]::iter[0]::traits[0]::iterator[0]::Iterator[0]::next[0],core.iter.traits.iterator.Iterator.next,True,True,True,False,False,False
824824,68297,fn-memo,1.2.0,fn_memo,5c6399099dfc75fe,2018,309333896,111756323,100123548,Root,{{root}},src/sync/chashmap.rs,38,16,UnsafeBlockUserProvided,95952045,Normal,Rust,core,core[e667]::clone[0]::Clone[0]::clone[0],core.clone.Clone.clone,True,True,True,False,False,False
